I'm Satisfied Beside That Sweetie O'Mine ,(Yellen-Pinkard) 
Those Panama Mamas ,(Johnson-Bibo) 
Prince Of Wails ,(Schoebel) 
Melancholy Lou ,(Hibbler) 
Deep Elm ,(Robison) 
I'm Gonna Hang Around My Sugar ,(Palmer-Williams) 
Milenberg Joys ,(Melrose-Roppolo-Mares-Morton) 
I Wish I Could Shimmy Like My Sister Kate ,(Piron) 
Beale Street Blues ,(Handy) 
"Play It, Red ",(Harris) 
Swamp Blues ,(Burke-Bivens) 
Clementine (from New Orleans) ,(Creamer-Warren) 
Cornfed! ,(Effros-Wall) 
Buffalo Rhythm ,(Beaty-Snoly-Arluck) 
Zulu Wail ,(Skinner-Bibo) 
,
,
Duke Ellington 1924 – 27,
Choo Choo (Gotta Hurry Home) ,(Ellington-Ringle-Schafer) 
Rainy Nights ,(Ellington-Trent-Lopez)
I’m Gonna Hang Around My Sugar ,(Palmer-Williams)
Trombone Blues ,(Nixon-Williams) 
Georgia Grind,(Williams)
Parlor Social Stomp ,(Ellington)
(You’ve Got Those) Wanna-Go-Back-Again Blues ,(Turk-Handman) 
If You Can’t Hold The Man You Love ,(Fain-Kahal) 
Animal Crackers ,(Coslow-Rich-Link) 
Li’l Farina ,(Smith-Mier) 
East St. Louis Toodle-O ,(Ellington-Miley) 
Birmingham Breakdown ,(Ellington) 
Immigration Blues ,(Ellington)
The Creeper ,(Ellington)
The Creeper ,(Ellington) 
If You Can’t Hold The Man You Love ,(Kahal-Fain) 
New Orleans Low-Down ,(Ellington)
Song Of The Cotton Field ,(Grainger)
Birmingham Breakdown ,(Ellington) 
East St. Louis Toodle-Oo ,(Ellington-Miley)
,
,
Duke Ellington 1927,
East St. Louis Toodle-Oo ,(Ellington-Miley)
Hop Head ,(Ellington-Hardwick)
Down In Our Alley Blues ,(Ellington-Hardwick)
Black And Tan Fantasy ,(Ellington-Miley) 
Soliloquy ,(Bloom) 
Washington Wobble ,(Ellington) 
Washington Wobble ,(Ellington)
Creole Love Call ,(Ellington-Miley-Jackson)
The Blues I Love To Sing ,(Ellington-Miley) 
The Blues I Love To Sing ,(Ellington-Miley) 
Black And Tan Fantasy ,(Ellington-Miley) 
Washington Wobble ,(Ellington) 
What Can A Poor Fellow Do? ,(Meyers-Schoebel) 
Black And Tan Fantasy ,(Ellington-Miley)
Black And Tan Fantasy ,(Ellington-Miley)
Black And Tan Fantasy ,(Ellington-Miley)
Chicago Stomp Down ,(Creamer-Johnson) 
Harlem River Quiver (Brown Berries) ,(Fields-Healy-McHugh) 
Harlem River Quiver ,(Fields-Healy-McHugh)
Harlem River Quiver ,(Fields-Healy-McHugh)
East St. Louis Toodle-Oo ,(Ellington-Miley)
Blue Bubbles ,(Ellington-Miley)
Blue Bubbles ,(Ellington-Miley)
Red Hot Band,(Fields-Healy-McHugh)
Doin’ The Frog ,(Fields-Healy-McHugh)
,
,
Clarence Williams 1927,
Gravier Street Blues,(Williams)
Candy Lips,(Lauria-Jackson)
Nobody But,(Williams-Razaf)
Candy Lips ,(Lauria-Jackson)
Cushion Foot Stomp ,(Williams)
Cushion Foot Stomp ,(Williams) 
P.D.Q. Blues ,(Simson-Henry)
P.D.Q. Blues ,(Simson-Henry) 
Cushion Foot Stomp ,(Williams)
Take Your Black Bottom Outside ,(Williams-Green)
Black Snake Blues,(Johnson-Spivey)
Old Folks Shuffle,(Williams-Waller)
Baltimore ,(Healey-Kahl-McHugh)
Baltimore ,(KH: v)
Take Your Black Bottom Outside ,(Williams-Green)
Slow River ,(Schwab-Meyers)
Slow River,(Schwab-Meyers)
Zulu Wail ,(Skinner-Bibo)
Zulu Wail ,(Skinner-Bibo)
Shooting The Pistol,(Williams)
(I’m Goin’ Back To) Bottomland ,(Williams-Trent)
(I’m Goin’ Back To) Bottomland ,(Williams-Trent) 
,
,
Clarence Williams 1927-28,
