solo_id,medium_title,band_name,leader_name,track_title,line_up,instrument,recording_year,performer_new,instrument_corrected
AQALslOcKLqSBH2EX8cfNM-H8DqSbRSP_0.04.14.021206-0.04.31.011619,,Maynard Ferguson,Maynard Ferguson,Statement,,tp,1962,Maynard Ferguson,
AQAMAJmimkTyBN-O87hGB7syODp2HCez_0.00.51.078049-0.01.28.011972,Lester Young Vol. 13 1956-57,Billie Holiday With Mal Waldron All-Stars,Billie Holiday,Fine And Mellow,"Ben Webster (ts), Billie Holiday (voc), Coleman Hawkins (ts), Danny Barker (g), Doc Cheatham (tp), Jim Atlas (b), Jo Jones (dr), Lester Young (ts), Mal Waldron (p), Vic Dickenson (tb)",as,1957,Lester Young,ts
AQAMMtG0Jzr0qETWFw-b4DucHOd18DLO_0.01.16.093061-0.01.45.088299,,Henry Threadgill,,To be announced,"Diedre Murray (other), Fred Hopkins (b), Henry Threadgill (as, ts, fl), Rasul Siddik (tp), Reggie Nicholson (other)",tb,1986,Frank Lacy,
AQAMQlZOJXjQ5TqSXOEROsEP5mhOIfyD_0.00.28.047346-0.05.44.009795,,Anthony Braxton,Anthony Braxton,Giant steps,Anthony Braxton (as),ts,1979,Anthony Braxton,
AQAMYNuThVIShOYNyh_6hOgl4YccVXh0_0.02.08.045714-0.03.06.071020,,Henry Threadgill,,Good times,"Diedre Murray (other), Fred Hopkins (b), Henry Threadgill (fl, as, ts), Rasul Siddik (tp), Reggie Nicholson (other)",tb,1986,Frank Lacy,
AQAMgFoUJkkToUrJ4VKG_Eh2_CiPqVmT_0.02.56.068063-0.04.31.045287,,Phil Woods,Phil Woods,Groovin' high,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (ss), Steve Gilmore (b)",ts,1976,Zoot Sims,
AQAMgFoUJkkToUrJ4VKG_Eh2_CiPqVmT_0.04.39.019673-0.04.47.032081,,Phil Woods,Phil Woods,Groovin' high,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (ss), Steve Gilmore (b)",ts,1976,Zoot Sims,
AQAMgFoUJkkToUrJ4VKG_Eh2_CiPqVmT_0.05.18.065469-0.05.22.062530,,Phil Woods,Phil Woods,Groovin' high,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (ss), Steve Gilmore (b)",ts,1976,Zoot Sims,
AQAMgFoUJkkToUrJ4VKG_Eh2_CiPqVmT_0.05.25.086448-0.05.30.031836,,Phil Woods,Phil Woods,Groovin' high,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (ss), Steve Gilmore (b)",ts,1976,Zoot Sims,
AQAMgFoUJkkToUrJ4VKG_Eh2_CiPqVmT_0.05.30.031836-0.05.33.047918,,Phil Woods,Phil Woods,Groovin' high,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (ss), Steve Gilmore (b)",ts,1976,Zoot Sims,
AQAMlGWSKImUNdhTUD9ObD98ocqON1eG_0.04.01.033079-0.05.38.085460,,Henry Threadgill,,Theme from Thomas Cole,"Diedre Murray (other), Fred Hopkins (b), Henry Threadgill (fl, as, ts), Rasul Siddik (tp), Reggie Nicholson (other)",tb,1986,Frank Lacy,
AQAMv1O0WYmSCIwSXYiRPDiar-D7JHhu_0.02.20.043428-0.04.23.022140,,Dexter Gordon,Dexter Gordon,Field day,"Charles Green (b), Dexter Gordon (ts), Dolo Coker (p), Larance Marable (dr), Martin Banks (tp), Richard Boone (tb)",as,1960,Dexter Gordon,ts
