Track,CD,Boxnumber,Title,Composer,Artist,Aufnahmeort,Aufnahmedatum,Besetzung,
,,,,,,,,,
,,,,,,,,,
Jazz Roads – Classic Jazz – 232093,,,,,,,,,
,,,,,,,,,
1,5,232093,Eccentric ,(Robinson) ,Friars Society Orchestra,"Richmond, Indiana",29/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
2,5,232093,Farewell Blues ,(Roppolo-Schoebel-Mares) ,Friars Society Orchestra,"Richmond, Indiana",29/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
3,5,232093,Discontented Blues ,(Meyers-Schoebel-Miller) ,Friars Society Orchestra,"Richmond, Indiana",29/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
4,5,232093,Bugle Call Blues ,(Snyder-Pettis-Brunies) ,Friars Society Orchestra,"Richmond, Indiana",29/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
5,5,232093,Panama ,(Tyers) ,Friars Society Orchestra,"Richmond, Indiana",30/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
6,5,232093,Tiger Rag ,(ODJB) ,Friars Society Orchestra,"Richmond, Indiana",30/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
7,5,232093,Livery Stable Blues ,(ODJB) ,Friars Society Orchestra,"Richmond, Indiana",30/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
8,5,232093,Oriental ,(Schoebel-Meyers) ,Friars Society Orchestra,"Richmond, Indiana",30/08/1922,"Elmer Schoebel (p, a, dir): Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Jack Pettis (Cm, ts), Lou Black (bj), Steve Brown (sb), Frank Snyder (d).",
9,5,232093,Sweet Lovin' Man ,(Hardin-Melrose),New Orleans Rhythm Kings ,"Richmond, Indiana",12/03/1923,"Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Mel Stitzel (p), Ben Pollack (d).",
10,5,232093,Sweet Lovin' Man ,(Hardin-Melrose) ,New Orleans Rhythm Kings ,"Richmond, Indiana",12/03/1923,"Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Mel Stitzel (p), Ben Pollack (d).",
11,5,232093,That's A Plenty ,(Pollack) ,New Orleans Rhythm Kings ,"Richmond, Indiana",12/03/1923,"Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Mel Stitzel (p), Ben Pollack (d).",
12,5,232093,That's A Plenty ,(Pollack) ,New Orleans Rhythm Kings ,"Richmond, Indiana",12/03/1923,"Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Mel Stitzel (p), Ben Pollack (d).",
13,5,232093,Shim-Me-Sha-Wabble ,(Williams) ,New Orleans Rhythm Kings ,"Richmond, Indiana",12/03/1923,"Paul Mares (c), George Brunies (tb), Leon Roppolo (cl), Mel Stitzel (p), Ben Pollack (d).",
